date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net_total
2024-07-03,5651.72021484375,23172.4296875,105.4000015258789,32.57279968261719,4.355000019073486,12.09000015258789,18188.30078125,45.067298889160156,-485.0,7754.0,999998.0,346.0,-321588.0,-317196.0,-4392.0
2024-07-04,,23522.529296875,,32.621498107910156,,,,46.24442672729492,-1121.0,3350.0,999998.0,296.0,-405237.0,-386898.0,-18339.0
2024-07-05,5656.31005859375,23556.58984375,104.87999725341797,32.50659942626953,4.271999835968018,12.479999542236328,18352.759765625,46.07626724243164,-2872.0,-6034.0,999998.0,300.0,-230647.0,-227268.0,-3379.0
2024-07-08,5765.2099609375,23878.150390625,105.01000213623047,32.393001556396484,4.269000053405762,12.369999885559082,18403.740234375,47.5296630859375,-218.0,3719.0,999998.0,325.0,-427562.0,-421277.0,-6285.0
2024-07-09,5765.2001953125,23900.080078125,105.12000274658203,32.47100067138672,4.300000190734863,12.510000228881836,18429.2890625,47.48161697387695,-5353.0,-8247.0,999998.0,318.0,-621458.0,-632364.0,10906.0
2024-07-10,5904.5400390625,24007.080078125,105.05000305175781,32.50749969482422,4.28000020980835,12.850000381469727,18647.44921875,47.6497802734375,1724.0,3818.0,999998.0,309.0,-430829.0,-387541.0,-43288.0
2024-07-11,5699.66015625,24390.029296875,104.44000244140625,32.58689880371094,4.192999839782715,12.920000076293945,18283.41015625,48.706790924072266,-1621.0,-1861.0,999998.0,308.0,-353060.0,-351483.0,-1577.0
2024-07-12,5775.18994140625,23916.9296875,104.08999633789062,32.38679885864258,4.189000129699707,12.460000038146973,18398.44921875,47.169315338134766,-3583.0,-9290.0,999998.0,251.0,-699223.0,-688426.0,-10797.0
2024-07-15,5777.7099609375,23879.359375,104.19000244140625,32.54800033569336,4.229000091552734,13.119999885559082,18472.5703125,47.253395080566406,4111.0,1966.0,999998.0,304.0,-631965.0,-590048.0,-41917.0
2024-07-16,5804.02978515625,23997.25,104.2699966430664,32.57400131225586,4.166999816894531,13.1899995803833,18509.33984375,47.53107452392578,-932.0,3215.0,999998.0,404.0,-521073.0,-531891.0,10818.0
2024-07-17,5408.7099609375,23769.8203125,103.75,32.56330108642578,4.145999908447266,14.479999542236328,17996.919921875,46.867061614990234,-4636.0,-7039.0,999998.0,377.0,-669141.0,-673133.0,3992.0
2024-07-18,5436.419921875,23398.470703125,104.16999816894531,32.49079895019531,4.189000129699707,15.930000305175781,17871.220703125,46.02195739746094,-6024.0,-11055.0,999998.0,366.0,-707922.0,-710517.0,2595.0
2024-07-19,5267.16015625,22869.259765625,104.4000015258789,32.638999938964844,4.238999843597412,16.520000457763672,17726.939453125,44.971614837646484,5796.0,1999.0,999998.0,357.0,-791955.0,-788095.0,-3860.0
2024-07-22,5477.830078125,22256.990234375,104.30999755859375,32.78099822998047,4.260000228881836,14.90999984741211,18007.5703125,43.63151931762695,-3002.0,-2002.0,999998.0,334.0,-1029835.0,-1041614.0,11779.0
2024-07-23,5397.89990234375,22871.83984375,104.44999694824219,32.80849838256836,4.238999843597412,14.720000267028809,17997.349609375,44.98368835449219,5874.0,12725.0,999998.0,324.0,-520783.0,-499617.0,-21166.0
2024-07-24,5105.64990234375,,104.38999938964844,32.75130081176758,4.285999774932861,18.040000915527344,17342.41015625,,,,,,,,
2024-07-25,5005.35986328125,,104.36000061035156,32.71480178833008,4.25600004196167,18.459999084472656,17181.720703125,,,,,,,,
2024-07-26,5103.1298828125,22119.2109375,104.31999969482422,32.643001556396484,4.199999809265137,16.389999389648438,17357.880859375,43.22104263305664,-4586.0,-9122.0,999998.0,323.0,-548728.0,-552546.0,3818.0
2024-07-29,5087.6201171875,22164.490234375,104.55999755859375,32.79800033569336,4.177999973297119,16.600000381469727,17370.19921875,43.60737991333008,1072.0,1722.0,999998.0,315.0,-471809.0,-465620.0,-6189.0
2024-07-30,4890.14990234375,22223.5703125,104.55000305175781,32.849300384521484,4.14300012588501,17.690000534057617,17147.419921875,43.60737991333008,-2736.0,-3051.0,999998.0,318.0,-640715.0,-644257.0,3542.0
2024-07-31,5233.18017578125,22199.349609375,104.0999984741211,32.76150131225586,4.109000205993652,16.360000610351562,17599.400390625,43.66773986816406,1904.0,3009.0,999998.0,197.0,-533006.0,-572871.0,39865.0
2024-08-01,4859.58984375,22642.099609375,104.41999816894531,32.57229995727539,3.9760000705718994,18.59000015258789,17194.150390625,44.42832946777344,-4425.0,-1726.0,999998.0,293.0,-324509.0,-324639.0,130.0
2024-08-02,4607.759765625,21638.08984375,103.20999908447266,32.71649932861328,3.7920000553131104,23.389999389648438,16776.16015625,42.18276596069336,-998.0,-11856.0,999998.0,294.0,-902741.0,-867423.0,-35318.0
2024-08-05,4519.4501953125,19830.880859375,102.69000244140625,32.58890151977539,3.7850000858306885,38.56999969482422,16200.080078125,38.33150863647461,4015.0,15439.0,999998.0,58.0,-904351.0,-922207.0,17856.0
2024-08-06,4567.56982421875,20501.01953125,102.97000122070312,32.67900085449219,3.888000011444092,27.709999084472656,16366.849609375,40.444271087646484,2379.0,11322.0,999998.0,39.0,-454475.0,-507005.0,52530.0
2024-08-07,4426.27001953125,21295.279296875,103.19999694824219,32.77799987792969,3.9679999351501465,27.850000381469727,16195.8095703125,42.04996871948242,1189.0,2321.0,999998.0,12.0,-767036.0,-709714.0,-57322.0
2024-08-08,4730.009765625,20870.099609375,103.20999908447266,32.650001525878906,3.996999979019165,23.790000915527344,16660.01953125,41.18071746826172,148.0,-6040.0,999998.0,36.0,-219939.0,-217206.0,-2733.0
2024-08-09,4709.4501953125,21469.0,103.13999938964844,32.41019821166992,3.941999912261963,20.3700008392334,16745.30078125,42.46044921875,-197.0,6884.0,999998.0,51.0,-293537.0,-236883.0,-56654.0
2024-08-12,4743.81982421875,21773.259765625,103.13999938964844,32.435001373291016,3.9089999198913574,20.709999084472656,16780.609375,42.99165725708008,-2706.0,-3969.0,999998.0,38.0,-337407.0,-314600.0,-22807.0
2024-08-13,4942.31005859375,21796.5703125,102.55999755859375,32.23899841308594,3.8519999980926514,18.1200008392334,17187.609375,43.10031509399414,-1168.0,313.0,999998.0,28.0,-279071.0,-274320.0,-4751.0
2024-08-14,4933.35009765625,22027.25,102.56999969482422,32.30500030517578,3.819999933242798,16.190000534057617,17192.599609375,43.64359664916992,2721.0,1620.0,999998.0,100.0,-233766.0,-234131.0,365.0
2024-08-15,5173.3798828125,21895.169921875,102.9800033569336,31.9950008392334,3.9260001182556152,15.229999542236328,17594.5,43.3055534362793,57.0,-2928.0,999998.0,110.0,-325627.0,-335789.0,10162.0
2024-08-16,5170.25,22349.330078125,102.45999908447266,32.442501068115234,3.8919999599456787,14.800000190734863,17631.720703125,44.28345489501953,-1800.0,530.0,999998.0,156.0,-235500.0,-249341.0,13841.0
2024-08-19,5266.56982421875,22409.630859375,101.88999938964844,32.135501861572266,3.867000102996826,14.649999618530273,17876.76953125,44.34382247924805,297.0,-2428.0,999998.0,150.0,-285463.0,-231143.0,-54320.0
2024-08-20,5196.2998046875,22429.099609375,101.44000244140625,31.910499572753906,3.818000078201294,15.880000114440918,17816.939453125,44.36796569824219,-983.0,-199.0,999998.0,180.0,-196071.0,-208616.0,12545.0
2024-08-21,5267.93017578125,22237.890625,101.04000091552734,31.895000457763672,3.7780001163482666,16.270000457763672,17918.990234375,43.897125244140625,-2278.0,-2254.0,999998.0,169.0,-365257.0,-354217.0,-11040.0
2024-08-22,5086.89990234375,22148.830078125,101.51000213623047,31.69499969482422,3.861999988555908,17.549999237060547,17619.349609375,43.66773986816406,3912.0,-1114.0,999998.0,148.0,-333423.0,-314126.0,-19297.0
2024-08-23,5228.64990234375,22158.05078125,100.72000122070312,32.03499984741211,3.806999921798706,15.859999656677246,17877.7890625,43.69188690185547,-1770.0,2606.0,999998.0,163.0,-370360.0,-375708.0,5348.0
2024-08-26,5097.35009765625,22240.119140625,100.8499984741211,31.754499435424805,3.818000078201294,16.149999618530273,17725.76953125,43.76432418823242,-1380.0,-848.0,999998.0,239.0,-312131.0,-309543.0,-2588.0
2024-08-27,5153.6298828125,22185.0,100.55000305175781,31.80900001525879,3.8329999446868896,15.430000305175781,17754.8203125,43.57115173339844,-513.0,-2413.0,999998.0,286.0,-256874.0,-277730.0,20856.0
2024-08-28,5059.56005859375,22370.66015625,101.08999633789062,31.69499969482422,3.8410000801086426,17.110000610351562,17556.029296875,44.18687438964844,249.0,4594.0,999998.0,275.0,-252192.0,-263429.0,11237.0
2024-08-29,5029.25,22201.849609375,101.33999633789062,31.982999801635742,3.867000102996826,15.649999618530273,17516.4296875,43.58322525024414,272.0,-4501.0,999998.0,238.0,-268670.0,-288781.0,20111.0
2024-08-30,5158.81982421875,22268.08984375,101.69999694824219,31.857999801635742,3.9110000133514404,15.0,17713.619140625,43.78847122192383,-2583.0,2237.0,999998.0,167.0,-268306.0,-270442.0,2136.0
2024-09-02,,22235.099609375,,31.996000289916992,,,,43.66773986816406,-141.0,-4052.0,999998.0,229.0,-292125.0,-308760.0,16635.0
2024-09-03,4759.0,22092.2109375,101.83000183105469,31.930999755859375,3.8440001010894775,20.719999313354492,17136.30078125,43.47457504272461,3209.0,2331.0,999998.0,271.0,-436211.0,-460757.0,24546.0
2024-09-04,4770.85009765625,21092.75,101.36000061035156,31.981000900268555,3.7679998874664307,21.31999969482422,17084.30078125,41.34973907470703,6228.0,5378.0,999998.0,261.0,-746273.0,-787346.0,41073.0
2024-09-05,4742.419921875,21187.7109375,101.11000061035156,31.954999923706055,3.7309999465942383,19.899999618530273,17127.66015625,41.603271484375,3847.0,6694.0,999998.0,210.0,-352089.0,-347457.0,-4632.0
2024-09-06,4528.22021484375,21435.189453125,101.18000030517578,32.00699996948242,3.7100000381469727,22.3799991607666,16690.830078125,42.19484329223633,-3017.0,1571.0,999998.0,249.0,-448745.0,-444962.0,-3783.0
2024-09-09,4625.77978515625,21144.439453125,101.55000305175781,32.025901794433594,3.697000026702881,19.450000762939453,16884.599609375,41.54290771484375,-508.0,1344.0,999998.0,253.0,-747546.0,-748035.0,489.0
2024-09-10,4680.669921875,21064.080078125,101.62999725341797,32.108001708984375,3.6459999084472656,19.079999923706055,17025.880859375,41.6153450012207,1191.0,987.0,999998.0,262.0,-477966.0,-475267.0,-2699.0
2024-09-11,4910.169921875,21031.0,101.68000030517578,32.15800094604492,3.6530001163482666,17.690000534057617,17395.529296875,41.4946174621582,-625.0,-1555.0,999998.0,216.0,-494206.0,-488613.0,-5593.0
2024-09-12,4898.43994140625,21653.25,101.37000274658203,32.106998443603516,3.680000066757202,17.06999969482422,17569.6796875,43.05202102661133,-2785.0,4209.0,999998.0,226.0,-431178.0,-422771.0,-8407.0
2024-09-13,4980.490234375,21759.650390625,101.11000061035156,31.92300033569336,3.6500000953674316,16.559999465942383,17683.98046875,43.0761604309082,-1437.0,-998.0,999998.0,126.0,-271264.0,-274469.0,3205.0
