date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net
2023-06-26,3515.77001953125,17059.240234375,102.69000244140625,30.996999740600586,3.7190001010894775,14.25,13335.7802734375,30.021217346191406,-4397.91333,0.0,1465.12,7426845.0,315808.0,-1720.0,-3738.0,999998.0,2.0,-161701.0,-138091.0,-23610.0
2023-06-27,3642.409912109375,16887.900390625,102.48999786376953,31.003999710083008,3.7679998874664307,13.739999771118164,13555.669921875,29.824548721313477,-1719.77126,0.0,538.25,7459658.0,314360.0,-1020.0,-4768.0,999998.0,-16.0,-178511.0,-183183.0,4672.0
2023-06-28,3609.47998046875,16935.630859375,102.91000366210938,30.993499755859375,3.7100000381469727,13.430000305175781,13591.75,29.870826721191406,-1658.44607,0.0,452.24,7357561.0,288218.0,-2264.0,701.0,999998.0,36.0,-128612.0,-125935.0,-2677.0
2023-06-29,3614.179931640625,16942.30078125,103.33999633789062,31.056499481201172,3.8540000915527344,13.539999961853027,13591.330078125,29.859256744384766,-886.41484,0.0,320.3,7393060.0,312838.0,-5709.0,-6854.0,999998.0,98.0,-174361.0,-183522.0,9161.0
2023-06-30,3673.06005859375,16915.5390625,102.91000366210938,31.117300033569336,3.819000005722046,13.59000015258789,13787.919921875,29.870826721191406,-424.81429,0.0,282.89448,7411131.0,303671.0,435.0,4648.0,999998.0,-15.0,-196260.0,-201026.0,4766.0
2023-07-03,3703.6201171875,17084.19921875,102.98999786376953,31.145999908447266,3.8580000400543213,13.569999694824219,13816.76953125,30.24102783203125,,,,7410104.0,308269.0,838.0,4312.0,999998.0,-39.0,-119967.0,-120746.0,779.0
2023-07-04,,17140.76953125,,31.087799072265625,,,,30.310441970825195,,,,7426105.0,324581.0,1649.0,-454.0,999998.0,-7.0,-99374.0,-103224.0,3850.0
2023-07-05,3622.320068359375,17056.4296875,103.37000274658203,31.077999114990234,3.944999933242798,14.180000305175781,13791.650390625,30.26416778564453,,,,7449490.0,337574.0,-4720.0,-9745.0,999998.0,-6.0,-88248.0,-86563.0,-1685.0
2023-07-06,3577.489990234375,16762.169921875,103.16999816894531,31.224199295043945,4.040999889373779,15.4399995803833,13679.0400390625,29.59317398071289,,,,7488072.0,322256.0,-518.0,-6946.0,999998.0,-17.0,-274165.0,-276058.0,1893.0
2023-07-07,3577.72998046875,16664.2109375,102.2699966430664,31.326900482177734,4.050000190734863,14.829999923706055,13660.7197265625,29.54689598083496,,,,7528584.0,299425.0,1488.0,2682.0,999998.0,16.0,-368260.0,-361774.0,-6486.0
2023-07-10,3651.60009765625,16652.80078125,101.97000122070312,31.259000778198242,4.00600004196167,15.069999694824219,13685.48046875,29.489049911499023,,,,7552259.0,294333.0,2463.0,3190.0,999998.0,-80.0,-288054.0,-297576.0,9522.0
2023-07-11,3653.530029296875,16898.91015625,101.7300033569336,31.360000610351562,3.9800000190734863,14.84000015258789,13760.7001953125,29.893964767456055,,,,7579226.0,287787.0,1988.0,8315.0,999998.0,-102.0,-196008.0,-204043.0,8035.0
2023-07-12,3721.469970703125,16962.029296875,100.5199966430664,31.265499114990234,3.8610000610351562,13.539999961853027,13918.9599609375,29.951805114746094,,,,7555079.0,288719.0,-4045.0,-3279.0,999998.0,-150.0,-202427.0,-202341.0,-86.0
2023-07-13,3797.1298828125,17061.400390625,99.7699966430664,31.03380012512207,3.760999917984009,13.609999656677246,14138.5703125,30.287302017211914,,,,7569624.0,297906.0,295.0,5875.0,999998.0,-102.0,-255697.0,-248956.0,-6741.0
2023-07-14,3750.409912109375,17283.7109375,99.91000366210938,30.957799911499023,3.819000005722046,13.34000015258789,14113.7001953125,30.59966468811035,,,,7508510.0,305409.0,-747.0,5452.0,999998.0,-97.0,-208276.0,-200401.0,-7875.0
2023-07-17,3837.31005859375,17334.2890625,99.83999633789062,30.950000762939453,3.796999931335449,13.479999542236328,14244.9501953125,30.54182243347168,,,,7555596.0,310383.0,1344.0,-4106.0,999998.0,-137.0,-159820.0,-160069.0,249.0
2023-07-18,3842.360107421875,17227.91015625,99.94000244140625,30.950000762939453,3.7890000343322754,13.300000190734863,14353.6396484375,30.483131408691406,,,,7637630.0,317221.0,406.0,-1284.0,999998.0,-157.0,-319938.0,-327315.0,7377.0
2023-07-19,3801.659912109375,17116.439453125,100.27999877929688,30.902999877929688,3.742000102996826,13.760000228881836,14358.01953125,30.224899291992188,,,,7652350.0,319347.0,-3913.0,-7669.0,999998.0,-163.0,-327529.0,-329640.0,2111.0
2023-07-20,3663.85009765625,17164.890625,100.87999725341797,31.04330062866211,3.8540000915527344,13.989999771118164,14063.3095703125,30.365755081176758,,,,7648849.0,314822.0,2342.0,4369.0,999998.0,-169.0,-215738.0,-204750.0,-10988.0
2023-07-21,3698.85009765625,17030.69921875,101.06999969482422,31.037799835205078,3.8369998931884766,13.600000381469727,14032.8095703125,29.861024856567383,,,,7659331.0,322076.0,-4945.0,-6669.0,999998.0,-242.0,-342506.0,-335655.0,-6851.0
2023-07-24,3692.320068359375,17033.609375,101.3499984741211,31.32200050354004,3.8570001125335693,13.90999984741211,14058.8701171875,29.872760772705078,,,,7634510.0,318944.0,3745.0,1778.0,999998.0,-217.0,-225599.0,-239683.0,14084.0
2023-07-25,3755.27001953125,17198.890625,101.3499984741211,31.299999237060547,3.9119999408721924,13.859999656677246,14144.5595703125,30.24837303161621,,,,7684092.0,305314.0,680.0,2826.0,999998.0,-202.0,-155142.0,-155328.0,186.0
2023-07-26,3699.3701171875,17162.55078125,100.88999938964844,31.166000366210938,3.8510000705718994,13.1899995803833,14127.2802734375,30.166208267211914,,,,7638499.0,309270.0,-3314.0,-7451.0,999998.0,-221.0,-162349.0,-168866.0,6517.0
